"","announcement","name","maturity_sector","mean","sd","iqr","max","min"
"111","QE2b","bid_ask_v1_COB_change","short",0.00130769230769235,0.000947330933431376,0.00100000000000011,0.003,-2.22044604925031e-16
"112","QE2b","bid_ask_v1_COB_change","untargeted_short",0.000199999999999989,0.0023874672772627,0.00300000000000006,0.003,-0.00300000000000006
"113","QE2b","bid_ask_v1_t+1_change","long",0.00133333333333333,0.000707106781186627,0.00100000000000033,0.00200000000000022,0
"114","QE2b","bid_ask_v1_t+1_change","medium",0.001,0.000534522483824909,1.11022302462516e-16,0.00200000000000022,0
"115","QE2b","bid_ask_v1_t+1_change","short",0.00100000000000003,0.000912870929175298,0.00100000000000011,0.00200000000000022,-0.001
"116","QE2b","bid_ask_v1_t+1_change","untargeted_short",0.00160000000000001,0.00585662018573855,0.004,0.0100000000000001,-0.00600000000000001
"117","QE2b","bid_ask_v2_COB_change","long",0.000391141583253171,0.000160623014861644,0.000304167474032948,0.000563722703042964,0.000243168775168913
"118","QE2b","bid_ask_v2_COB_change","medium",0.000385385097781221,0.000268963989590967,0.000392080156443592,0.000742969186106411,-3.68101273572272e-05
"119","QE2b","bid_ask_v2_COB_change","short",0.00127054839818769,0.00120321818408717,0.00158736670424993,0.00341473590738157,-3.02823832235598e-05
"120","QE2b","bid_ask_v2_COB_change","untargeted_short",-0.000437620160560938,0.00560258499787304,0.00699904414048641,0.0053487906713292,-0.00841535560205652
"121","QE2b","bid_ask_v2_t+1_change","long",0.000383692037847493,0.000216100654339438,0.000305379919672766,0.000591928268374228,-2.09065099387531e-05
"122","QE2b","bid_ask_v2_t+1_change","medium",0.000341674281833721,0.000179192780603591,7.80899191603049e-05,0.000708809208302164,6.80195035266578e-05
"123","QE2b","bid_ask_v2_t+1_change","short",0.00178720420008201,0.00174683989815095,0.0019793694428728,0.00636485996790389,8.31604997645458e-05
"124","QE2b","bid_ask_v2_t+1_change","untargeted_short",0.00685665470183712,0.0145388096603716,0.00609291537279435,0.0283396310291177,-0.0121896636128401
"125","QE2b","bid_ask_v3_COB_change","long",0.000224768925436112,3.92833094558161e-05,2.77879247217526e-05,0.000271436292582469,0.000138159187818691
"126","QE2b","bid_ask_v3_COB_change","medium",0.000169488751384946,3.40554879358909e-05,7.54783040175607e-06,0.000199608786792304,8.80182598604259e-05
"127","QE2b","bid_ask_v3_COB_change","short",5.96707274559993e-05,4.20950461267551e-05,5.25724836401777e-05,0.000132326359671145,-4.88200728508616e-07
"128","QE2b","bid_ask_v3_COB_change","untargeted_short",1.9576758841402e-05,5.29536818480163e-05,4.81764797714789e-05,9.39955354126677e-05,-4.44177923513699e-05
"129","QE2b","bid_ask_v3_t+1_change","long",0.000223089980888391,2.84258447581877e-05,2.60103230569359e-05,0.00025960215414204,0.000170487275162704
"130","QE2b","bid_ask_v3_t+1_change","medium",0.000148588938900012,4.79199031280703e-05,2.3672845112643e-05,0.000176697021798416,4.08562611996149e-05
"131","QE2b","bid_ask_v3_t+1_change","short",4.56332989686416e-05,4.42767013796178e-05,4.7068097052321e-05,0.000129270927385264,-3.86898541445238e-05
"132","QE2b","bid_ask_v3_t+1_change","untargeted_short",5.61592628819974e-05,9.18621605677499e-05,8.93161416053977e-05,0.00019250660922701,-4.78840024097189e-05
"133","QE3a","bid_ask_v1_COB_change","long",0.000111111111111099,0.000781735959970485,0.000999999999999446,0.00100000000000033,-0.00099999999999989
