date,ticker_abrv,ois_yield,ois_tenor
2021-12-21,BPSWS1F_OIS,0.8909,1.5
2021-12-21,BPSWS2_OIS,0.984,2
2021-12-21,BPSWS3_OIS,1.046,3
2021-12-21,BPSWS4_OIS,1.0326,4
2021-12-21,BPSWS5_OIS,0.994,5
2021-12-21,BPSWS6_OIS,0.9597,6
2021-12-21,BPSWS7_OIS,0.9323,7
2021-12-21,BPSWS8_OIS,0.904,8
2021-12-21,BPSWS9_OIS,0.889,9
2021-12-21,BPSWS10_OIS,0.881,10
2021-12-21,BPSWS12_OIS,0.871,12
2021-12-21,BPSWS15_OIS,0.851,15
2021-12-21,BPSWS20_OIS,0.826,20
2021-12-21,BPSWS25_OIS,0.802,25
2021-12-21,BPSWS30_OIS,0.781,30
2021-12-21,BPSWS40_OIS,0.6965,40
2021-12-21,BPSWS50_OIS,0.6164,50
2021-12-22,BPSWS1Z_OIS,0.1955,0.019178082191780823
2021-12-22,BPSWS2Z_OIS,0.1935,0.038356164383561646
2021-12-22,BPSWSA_OIS,0.19495,0.08333333333333333
2021-12-22,BPSWSB_OIS,0.26,0.16666666666666666
2021-12-22,BPSWSC_OIS,0.313,0.25
2021-12-22,BPSWSD_OIS,0.3665,0.3333333333333333
2021-12-22,BPSWSE_OIS,0.4222,0.4166666666666667
2021-12-22,BPSWSF_OIS,0.4759,0.5
2021-12-22,BPSWSG_OIS,0.5256,0.5833333333333334
2021-12-22,BPSWSH_OIS,0.5784,0.6666666666666666
2021-12-22,BPSWSI_OIS,0.6293,0.75
2021-12-22,BPSWSJ_OIS,0.675,0.8333333333333334
2021-12-22,BPSWSK_OIS,0.71267,0.9166666666666666
2021-12-22,BPSWS1_OIS,0.749,1
2021-12-22,BPSWS1F_OIS,0.9,1.5
2021-12-22,BPSWS2_OIS,0.9954,2
2021-12-22,BPSWS3_OIS,1.067,3
2021-12-22,BPSWS4_OIS,1.0559,4
2021-12-22,BPSWS5_OIS,1.0216,5
2021-12-22,BPSWS6_OIS,0.984,6
2021-12-22,BPSWS7_OIS,0.9504,7
2021-12-22,BPSWS8_OIS,0.9287,8
2021-12-22,BPSWS9_OIS,0.905,9
